MANUFACTURER_ID,MAKER_NAME
655c7622040522a1da0c7c561f9ab5d08a07982a567a87e4b3bdbdb1f8c1c024,M/S SRI ASHWINI ENGINEERING WORKS
65b363ab2e38cf278b90f403d8b2e761fc8114c94275d26175136fe5b49f9bbb,DASMESH MECHANICAL WORKS
6676578d8a72e91394abc5860c258896d5aee76cb32bcf022e6b4a666ecc8337,MAHINDRA & MAHINDRA LTD
675bd5eb51608779659112b55add1c358775f91bbe49cb909a30e203351ca06f,M/S SAI VENKATA DURGA ENGINEERING WORKS
67bf486b40838f4d3b4010401c73976041bc2504d686fe79ec1e0aa60c351b0b,M/S.SRI SAI NATH AGRO
68395e33e0c9eda23c0cdd8306420fde46b89ab0eeddf164d8661e0bfd80779c,TOYOTA KIRLOSKAR MOTOR PVT LTD
68b1fc9e30581003a62b9677d8d6a9eefcf8fe31d9fa33021602bf39186fc3a4,M/S.MANIKANTA ENGINEERING WORK SHOP
6a53e2671cb88f81eb59adcffe6b735d297390e4b6dbe1f9ab694eee624174ea,SHIVA SAI AGRO ENGG WORKS
6cc97446be806604e2dbdf483ae623ed3e2a0dbd3fb6f4589573dd333ac80b6c,M/S. SRI VENKATA RAGHAVA ENGINEERING WORKS
6d6a0f5f7c0edb05f18c0293b4318bb615eed210197535d8f9132992a803079d,TRACTORS&FARM EQUIPMENT LTD
6ddf4b7e0c13c2851892aa381dc4390cebed3ba5718a5640e330aeaaf0efd73b,DILLI ELECTRIC AUTO PVT LTD
6e97cd9b7451bc2fe42fd7baa88fca346eedab9ed4c9cf237afdfc8c02dc6cf7,M/S SRI SAI KIRAN AGRI INDUSTRY
701694376af8bce748661d88277115979ae9cc269ff473b82f4e72377c1a5f45,"M/S BISMILLAH ENGINEERING WORKS, KMM"
701dd6fc4d685fe201ca7ced5f3dd3431f2b9eb651990c074ee25b8497fad78e,M/S C M INDUSTRIES ENGG WORKS
707173751bfaddaabcbdbe4e5c7eef4e1c5fea14907f2f0f477c1c1a8872a66a,"MARUTI SUZUKI INDIA LTD.,"
70c1d9dabebbbfb372fda37eafcb7a4a3fe0b6279b7bcc2686dd5984291d099e,SANA ENGG WORKS NZB
71908556a3a2509789200972a3f9a270ec289a9944a9af8077741bbffc1af148,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED
71af263435c780dffe24a9c769ec4a6910f2e73e7a499bf64a82b399e3984e6e,M/S LAXMI NARSIMHA SWAMY ENGINEERING WORKS
735c31837917443aa94086e73ed6f30a543051864115903c6e380d51a4b11f66,L&T CONSTRUCTION EQUIPMENT LIMITED
738a7d568370b81ee0430c08062ef8ab29a1c8f775a9081aebf6e93ed555b0f6,M/S BHARATH ENGINEERING WORKS
7393c1e9700369a69ae0fe20c2cac9598bdf02e7312b788763aa09e910ac3e76,TRACTORS AND FARM EQUIPMENT
757fb2172c439c1dc2d49a856ea553f9c84d36c4d69b5135907e55bb1787922e,M/S SRI KALA ENGINEERING INDUSTRIES
75ea95598d2d90bc4c5799a375a840eefe881e062c8df84ef1c0c63a60be4851,SRI VENKATESWARA ENGG WORKS
